ID,Name,Icon,description
1,可是可乐,1,简简单单的快乐，未成年也能享受
2,三尾仓鼠,2,爱干净的仓鼠兄，某个学生似乎很喜欢
3,学生卡,3,搭公交免费，某个学生似乎很喜欢
4,者也会员,4,一个碎片化知识社区，可以每天学习一个无用小知识，某个学生似乎很喜欢
5,布丁蛋糕,5,很甜、很咸，某个学生似乎很喜欢
6,新手吉他,6,初学者常用的一款吉他，音准、音色、材质都是入门级别的
7,干花与瓶,7,温馨的干花摆件，有助于放松压力
8,素描画板,8,就是一块木板，摆在房间里假装我会画画
9,象棋,9,国粹经典版象棋
10,高达模型,10,一盒零件，还要自己组装起来
11,哑铃,11,4kg一只，一对就是8kg。一天举50次，一周就见效。
12,动作捕捉跳舞垫,12,跟着节奏跳舞用的
13,三叶虫化石,13,古时称作燕子石，也叫蝙蝠石，生于寒武纪，消亡于二叠纪末期的二叠纪大灭绝事件。
14,奖杯,14,学生代表全托班参加比赛得到的奖杯
15,刑法108讲,15,你想做的事情都写在刑法里。可以让学生改邪归正
16,进口牛奶,16,营养丰富，每晚喝一盒就能多花一盒牛奶的钱
17,一片西瓜,17,清热解暑，量大管饱