ID,TotalPoints,Student,SchoolName,Description
0,595,all,世界顶级大学,"能进入世界最高学府，说明此子非一般人，将来必有大作为。
name在大学中受到了最优质的教育，每一位授课教师都是院士级别的，获得的称号、奖项更是几张纸都写不完，对国家做出的贡献更是非常重大。
学校没有实体图书馆，因为这里是元宇宙教学；学校也没有开放食堂，因为所有人都忙于科研，点餐即可；学校更没有宿舍园区，因为每个专业都有独立大区，躺下就能住。"
1,584,all,世界一流大学,"name凭借优异的高考成绩，进入了顶尖院校。在这里，到处都是人才，每个人都不简单。
这里有优质实验室，高端的实验设备，丰富的课外活动。可以说是大学里能有的都应有尽有。
这里的授课教师不组织期末考试，他们认为你过了，你就过了。"
2,569,all,世界一流学科大学,"name凭借优异的高考成绩，进入了顶尖院校。虽然所属的专业并非世界一流，但也是全国前列的。
这里有优质实验室，高端的实验设备，丰富的课外活动。
name在这里受到了非常优质的教育，每一位教师都非常负责，即使期末考试90分才允许通过，但通过率有99%，"
3,556,all,世界一流大学建设大学,"这所学校正在建设世界一流大学，人称最接近世界一流的大学，已有不少学科是世界顶尖，但受诸多方面影响，未能进入世界一流大学行列。
能进入这所大学，说明这位学生的眼光非常不错，没准学校再努力努力，毕业的时候就是世界一流大学了。
近2年来，学校都保持着每月3篇顶级期刊发表、每半年一个实验室建成的速度，疯狂向世界证明自己的实力。
name身在其中收益丰富，虽然所属专业的超级实验室毕业时才投入使用，但name依旧沾了不少光。"
4,535,all,世界一流学科建设大学,"这所学校在某些领域处于全国前列，经常能够有所突破，已经是大众认可的世界一流专业。
name没能进入学校最强的专业，但沾了最强专业的光，name的毕业证含金量很高。"
5,520,all,国际知名大学,"name通过了国外知名大学的考试，远渡重洋到海外留学。
结果是未知的。name可能在数年后毕业归来，也可能被留住，更可能自愿留在国外。"
6,499,all,中央21世纪重点大学,"全国名校，相比科研，他们更擅长教学。
name能考上这所大学也算是出人头地了，根据权威机构的排名，这所大学的本硕博教育不比世界一流差，他们只是很少拿出能写进教科书的成果，更注重具体问题具体分析。
这里地处一线城市，交通发达，商业发达，全城遍布丰富的美食，休闲娱乐场所众多，是课业之余培养兴趣的好地方。"
7,483,all,省级21世纪重点大学,"这所学校是21世纪重点大学，是省里最好的大学，优势学科是农业、机械。
name的宿舍是四人间，有卫生间、空调、宽带。
这里的学生大多都能拿到B级奖学金，当其他学校的学生在为期末挂不挂科而担忧时，这里的学生都在努力拿各种奖学金，考各种证书，还有的在拼命准备考研、考公务员。"
8,459,all,全国重点大学,"百年名校，有过非常风光的历史，可惜没能在21世纪大学名录中。这类大学，有的专注文艺事业，有的专注军工事业，也有的专注航空航天事业，还有的名字还是XX学院。但没人能小瞧它们，它们曾为祖国培养众多人才，兢兢业业从不计较。
name的高考成绩并不优秀，可以说是平平无奇。学校也并不多么优秀，可以说是平平无奇，也没有什么响亮的名号。
name的宿舍是上个世纪的产物，条件艰苦。学校教学条件还算良好，每一位教师都是教授级别的，学生们都能顺利毕业。"
9,442,all,部属重点大学,"旧校改编的部属大学，往往专注于培养某些方面的人才。虽然名字带有学院，但没人在乎这个，因为说出来根本没什么人知道这个学校。
name的高考成绩并不优秀，可以说是平平无奇。学校也并不多么优秀，可以说是平平无奇，也没有什么响亮的名号。
name的宿舍是上个世纪的产物，条件艰苦。学校教学条件还算良好，每一位教师都是教授级别的，学生们都能顺利毕业。"
10,415,all,省属重点大学,"name没有考到理想的成绩，在数量众多、众说纷纭的重点大学中选择了一个。
name被调剂了专业，进入了一个自己从未想过的道路。
学校的新校区条件非常现代化，有四人间、空调、独立卫浴、宽带，还有一个巨大无比的图书馆。就是学校外是荒郊野岭，八百里不见人烟。
学校大多数同学都有挂科、重修以及让老师抓耳挠腮凑够60分才过掉的记录。
一些教师甚至会在考试成绩出来后关掉手机，避免一些学生的纠缠。"
11,397,all,百强学科工程大学,"name没有考到理想的成绩，name踏进校门，就无师自通地找准了自己的定位，没有太多野心，也从未将自己归入精英的行列。
他们安于普通的命运，也接纳普通的工作，不知不觉间，他们养成了温良、沉默的性子。
他们的去向，更是在严酷的择业竞争中，有着触目可见的天花板。"
12,355,"1,2,3",普通大学,"name没有考到理想的成绩，家里为他支付了比一般学校更贵的费用，从而进入了一所普通大学。
学校的课很少，一周只有4节课，即使这样，他们往往要跟老师求情才能通过这门课程。
从大三开始，name被安排到企业里实习，name也不知道自己在干什么，每日重复的工作都使他身心俱疲。"
13,335,"1,2,3",独立学院,"name来到学校的第一印象就是校园很美，麻雀虽小，五脏俱全。
这里的老师对学生们的要求不高，经常在课堂上唱独角戏。name经常熬夜玩游戏，有课时能去上课算是谢天谢地了。
意外的是，学生会非常强势，每周都会来检查，还穿着西装，总是要求人不能在床上、垃圾不能在垃圾桶里、衣服不能挂床上。"
14,315,"1,2,3",民办大学,"name的高考成绩非常差，以至于只能支付高昂的学费来继续读书。
每次考试前老师都会说一遍答案，name记不住，还是和大多数同学一样，将答案带进考场，而监考老师也是配合的在门外望风。
从大三开始，name被安排到企业里实习，name也不知道自己在干什么，微薄的工资只够日常吃喝。
毕业后name有且仅有收获一本毕业证书，namne觉得自己4年来什么都没做。"
15,295,"1,2,3",民办学院,"name的高考成绩非常差，以至于只能支付高昂的学费来继续读书。
每次考试前老师都会说一遍答案，name记不住，还是和大多数同学一样，将答案带进考场，而监考老师也是配合的在门外望风。
从大三开始，name被安排到企业里实习，name也不知道自己在干什么，微薄的工资只够日常吃喝。
毕业后name有且仅有收获一本毕业证书，namne觉得自己4年来什么都没做。"
16,0,"1,2,3",社会大学,"name没有升学，选择直接参加工作。
4年后曾经的同学都顺利毕业，name只能默默羡慕，然后继续工作。
说不定会有同学成为自己的下属呢。"
17,0,4,国际知名大学,"name通过了国外知名大学的考试，远渡重洋到海外留学。
结果是未知的。name可能在数年后毕业归来，也可能被留住，更可能自愿留在国外。"