TotalPoints,LeastValue,Description
595,900,name在导师的建议下，投身进入了interest的学习研究，并且以interest作为自己的毕业课题。毕业时这个课题得到了高影响力的期刊刊登与高频引用。
584,900,name向学校申请了进入interest相关专业学习，随后投身进入了interest的学习研究。毕业时已然是这方面的新星。
569,900,name向学校申请了进入interest相关专业学习，随后投身进入了interest的学习研究。毕业时发表了有一定影响力的论文，被作为毕业论文的典范。
556,900,name向学校申请了进入interest相关专业学习，毕业时发表了有一定影响力的论文，可谓是前程无限，兴趣与工作的完美结合。
535,900,"name的专业与interest没有任何关系，转专业申请也被驳回了。
name凭借良好的成绩，申请了双学位，终于能够在interest领域进行学习。interest相关的毕业论文拿到了优秀的评价，未来或许能在这个领域大放光彩。"
520,900,name在大学期间成立了一个interest工作室，极大的培养了自己的interest兴趣，许多外国同学都赞扬name的勇气。
499,900,"name参加了interest社团，大一下学期就当上了社团主席，并且连任2年，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
483,900,"name参加了interest社团，并且在换届时当上了社团主席，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
459,900,"name参加了interest社团，大一下学期就当上了社团主席，并且连任2年，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
442,900,name经常参加社会上的interest类活动，结交了不少志同道合的朋友，毕业后获得了不少的interest职位推荐。
415,900,name经常参加社会上的interest类活动，结交了不少志同道合的朋友，毕业后获得了不少的interest职位推荐。
397,900,name的专业课程很少，平时又非常喜爱interest，凭借良好的interest水平参与了不少全国比赛，获奖颇丰。
355,900,name的专业课程很少，平时又非常喜爱interest，凭借良好的interest水平参与了不少全国比赛，获奖颇丰。
335,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
315,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
295,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
0,900,name即使工作繁忙，依然保持着interest兴趣。name与朋友们组成了一个interest同好团体，经常一起聚会讨论，相互学习，有着良好的interest水平。
595,500,name在科研之余，不忘培养自己的interest兴趣，同时利用一些学校资源进一步深化了interest兴趣，吸引了100多万的粉丝。
584,500,name在科研之余，不忘培养自己的interest兴趣，同时利用一些学校资源进一步深化了interest兴趣，毕业后或许可以从事与interest相关的工作。
569,500,name在学习之余，不忘培养自己的interest兴趣，同时利用一些学校资源进一步深化了interest兴趣，毕业后或许可以从事与interest相关的工作。
556,500,name利用课余时间学习了大量的interest知识，并且学以致用，毕业后或许可以从事与interest相关的工作。
535,500,name利用课余时间学习了大量的interest知识，并且学以致用，毕业后或许可以从事与interest相关的工作。
520,500,name利用课余时间学习了大量的interest知识，并且学以致用，毕业后或许可以从事与interest相关的工作。
499,500,name深刻的认识到所属专业不是自己想要的，决定自学interest课程，虽然学习效果不佳，但也懂得了许多。
483,500,name深刻的认识到所属专业不是自己想要的，决定自学interest课程，虽然学习效果不佳，但也懂得了许多。
459,500,name深刻的认识到所属专业不是自己想要的，决定自学interest课程，虽然学习效果不佳，但也懂得了许多。
442,500,name在学校里虽然不爱去上课、考试也是大家都懂，但对待interest却非常认真。即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
415,500,name在学校里虽然不爱去上课、考试也是大家都懂，但对待interest却非常认真。即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
397,500,name在学校里虽然不爱去上课、考试也是大家都懂，但对待interest却非常认真。即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
355,500,name在学校里虽然不爱去上课、考试也是大家都懂，但对待interest却非常认真。即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
335,500,name没有放弃interest兴趣，即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
315,500,name没有放弃interest兴趣，即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
295,500,name没有放弃interest兴趣，即使常常忙于娱乐，但还是抽出时间来学习一些interest相关的知识。
0,500,name在工作之余会做一些与interest相关的事情，虽然时间很少，但也乐在其中。
595,200,name迫于科研的压力，放弃了interest兴趣，曾经的热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
584,200,name迫于科研的压力，放弃了interest兴趣，曾经的热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
569,200,name为争取毕业后更漂亮的成绩单，放弃了interest兴趣，兴趣热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
556,200,name为争取毕业后更漂亮的成绩单，放弃了interest兴趣，兴趣热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
535,200,name迫于学业的压力，，放弃了interest兴趣，曾经的热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
520,200,name迫于学业的压力，，放弃了interest兴趣，曾经的热情已被雪藏。在很多年以后，都没想起来自己曾经喜欢过什么。
499,200,name每天上课、吃饭、玩游戏、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
483,200,name每天上课、吃饭、玩游戏、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
459,200,name每天上课、吃饭、玩游戏、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
442,200,name每天玩游戏、吃饭、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
415,200,name每天玩游戏、吃饭、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
397,200,name每天玩游戏、吃饭、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
355,200,name每天玩游戏、吃饭、睡觉，已经在美好的生活中忘记了自己了的interest兴趣。
335,200,name经常熬夜玩游戏，已经在美好的生活中忘记了自己了的interest兴趣。
315,200,name经常熬夜玩游戏，已经在美好的生活中忘记了自己了的interest兴趣。
295,200,name经常熬夜玩游戏，已经在美好的生活中忘记了自己了的interest兴趣。
0,200,name经常熬夜玩游戏，已经在美好的生活中忘记了自己了的interest兴趣。
595,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。name在日记中写道：我除了听从别人的安排外，什么都不敢做，我仿佛一台机器。
584,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。name在日记中写道：我除了听从别人的安排外，什么都不敢做，我仿佛一台机器。
569,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。
556,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。
535,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。
520,0,name对学业以外的任何事情都不感兴趣，在一次错误的行动中受到了严重打击，患上的抑郁症。
499,0,name没有什么爱好、也没有什么喜欢的事情、也没有参加社团活动，平凡的度过了大学生涯
483,0,name没有什么爱好、也没有什么喜欢的事情、也没有参加社团活动，平凡的度过了大学生涯
459,0,name没有什么爱好、也没有什么喜欢的事情、也没有参加社团活动，平凡的度过了大学生涯
442,0,name没有什么爱好、也没有什么喜欢的事情、也没有参加社团活动，平凡的度过了大学生涯
415,0,name没有什么爱好、也没有什么喜欢的事情、也没有参加社团活动，平凡的度过了大学生涯
397,0,name在大学期间可以说是没有做任何事情，4年一到，毕业了。
355,0,name在大学期间可以说是没有做任何事情，4年一到，毕业了。
335,0,name在大学期间可以说是没有做任何事情，4年一到，毕业了。
315,0,name在大学期间可以说是没有做任何事情，4年一到，毕业了。
295,0,name在大学期间可以说是没有做任何事情，4年一到，毕业了。
0,0,name似乎因为无欲无求失去了自我。
,,