PlotId,RoleID,headline,text,isHint,isTimerShaftNode,saveID
TimeJF,,活动经费,本学期实验班教育经费<color=red>10000</color>元。提示：仅供教育支出，其他费用无需老师经手。,true,,
1time01,1,肖杜薇薇,加入实验班,true,true,
1timeHX,1,化学兴趣,有趣的教育方式勾起了肖杜薇薇对化学的兴趣，或许可以多安排一些化学课,true,true,
1timeHXX,1,失去信心,不够通俗的教学让学生提不起劲，失去了对化学的兴趣,true,true,1002
1timeSM1,1,失眠,肖杜薇薇的失眠用食疗法治愈了，心情有所提升,true,,
1timeSM2,1,失眠,肖杜薇薇睡前做了6道大题，似乎可以顺利入睡了,true,,
1time1103,1,小测第一,肖杜薇薇在语文测验中拿到了全班最高分，惊喜交加使得她信心十足。文化课水平上升,true,true,
1time003H,1,花店,肖杜薇薇似乎喜欢很喜欢花,true,true,1003H
2time01,2,周子轩,加入实验班,true,true,
2time05,,日程更新,周子轩已锁定本周六下午日程，请注意在“学生日程”中查看。,true,,
2time06,,激增压力,周子轩对你的信任降低了,true,,
2time07,,出门放松,周子轩对你的信任提高了,true,,
2time08,2,出行收获,周子轩心情提升，与丁思宸成为了好友,true,,
2time09,,加强学习,周子轩虽然周末没能外出游玩，但是学业水平有了额外的提升,true,,
2time10,,有趣的玩笑,周子轩心情提升,true,,
2time11,,老师别念了,周子轩被你的真诚（唠叨）所打动，对你的信任提升了,true,,
2time12,,日程更新,周子轩已锁定本周六上午、下午日程，请注意在“学生日程”中查看。,true,,
2time13a,,保持学习,周子轩成绩提升，对你的信任大幅提升,true,,
2time13b,,加强学习,周子轩成绩大幅提升,true,,
2time13c,,随心所欲,周子轩心情大幅提升,true,,
2time14a,,“主动”加练,周子轩：三句话让老师为我加了2小时课。成绩提升。,true,,
2time14b,,KTV预备中,周子轩已锁定本周六下午日程，请注意在“学生日程”中查看。,true,,
2time14c,,出门放松,周子轩已锁定本周六下午日程，请注意在“学生日程”中查看。,true,,
20time50x,,出行收获,周子轩心情提升，与白珸豪成为了好友,true,,
2timeEJ,2,高端耳机,昂贵的耳机让一般家庭的周同学手足无措。,true,true,
2timeNC,2,子轩牌奶茶,初次制作，获得一致好评，学生们心情增加。,true,true,
2time112,2,无人的聚会,朋友们都开始各忙各的，周子轩一时间找不到伴。,true,,
3time1,3,袁恬雅,加入实验班,true,true,
3time005H,,,,,,3005H
3time005H2,,,,,,3005H2
4time1,4,文有希,加入实验班,true,true,
4time2,,进度超前,黑大附中的学生学习进度远超黑湖中学。这似乎意味着什么。,true,,
4timeEJ,,新结交,文有希与丁思辰沉成为好友,true,,
4time100,,最高分,你的学生告诉你，1000分就是最高的分数，再往上都是不必要的。你认为必要也行。,true,,
3time2,,心情愉悦,袁恬雅和肖杜薇薇心情变好了,true,,
3time3,,黑话,专属于他们的语言。有10多年代沟的你们无法相互理解。,true,,
3timeDH,3,小生命,袁恬雅无法抵抗毛茸茸的诱惑，沉迷其中。,true,true,
3timeDHs,3,生命是如此的脆弱,生命是如此的脆弱，疏于照料使小生命死亡。,true,true,
,,,,,,
,,,,,,
N1001,1,语文·及格,肖杜薇薇的语文水平达到了及格，现已加入及格率的分子。,true,true,N1001
N1002,1,数学·及格,肖杜薇薇的数学水平达到了及格，现已加入及格率的分子。,true,true,N1002
N1003,1,英语·及格,肖杜薇薇的英语水平达到了及格，现已加入及格率的分子。,true,true,N1003
N1004,1,政治·及格,肖杜薇薇的政治水平达到了及格，现已加入及格率的分子。,true,true,N1004
N1005,1,历史·及格,肖杜薇薇的历史水平达到了及格，现已加入及格率的分子。,true,true,N1005
N1006,1,地理·及格,肖杜薇薇的地理水平达到了及格，现已加入及格率的分子。,true,true,N1006
N1007,1,物理·及格,肖杜薇薇的物理水平达到了及格，现已加入及格率的分子。,true,true,N1007
N1008,1,化学·及格,肖杜薇薇的化学水平达到了及格，现已加入及格率的分子。,true,true,N1008
N1009,1,生物·及格,肖杜薇薇的生物水平达到了及格，现已加入及格率的分子。,true,true,N1009
,,,,,,
N2001,2,语文·及格,周子轩的语文水平达到了及格，现已加入及格率的分子。,true,true,N2001
N2002,2,数学·及格,周子轩的数学水平达到了及格，现已加入及格率的分子。,true,true,N2002
N2003,2,英语·及格,周子轩的英语水平达到了及格，现已加入及格率的分子。,true,true,N2003
N2004,2,政治·及格,周子轩的政治水平达到了及格，现已加入及格率的分子。,true,true,N2004
N2005,2,历史·及格,周子轩的历史水平达到了及格，现已加入及格率的分子。,true,true,N2005
N2006,2,地理·及格,周子轩的地理水平达到了及格，现已加入及格率的分子。,true,true,N2006
N2007,2,物理·及格,周子轩的物理水平达到了及格，现已加入及格率的分子。,true,true,N2007
N2008,2,化学·及格,周子轩的化学水平达到了及格，现已加入及格率的分子。,true,true,N2008
N2009,2,生物·及格,周子轩的生物水平达到了及格，现已加入及格率的分子。,true,true,N2009
,,,,,,
N3001,3,语文·及格,袁恬雅的语文水平达到了及格，现已加入及格率的分子。,true,true,N3001
N3002,3,数学·及格,袁恬雅的数学水平达到了及格，现已加入及格率的分子。,true,true,N3002
N3003,3,英语·及格,袁恬雅的英语水平达到了及格，现已加入及格率的分子。,true,true,N3003
N3004,3,政治·及格,袁恬雅的政治水平达到了及格，现已加入及格率的分子。,true,true,N3004
N3005,3,历史·及格,袁恬雅的历史水平达到了及格，现已加入及格率的分子。,true,true,N3005
N3006,3,地理·及格,袁恬雅的地理水平达到了及格，现已加入及格率的分子。,true,true,N3006
N3007,3,物理·及格,袁恬雅的物理水平达到了及格，现已加入及格率的分子。,true,true,N3007
N3008,3,化学·及格,袁恬雅的化学水平达到了及格，现已加入及格率的分子。,true,true,N3008
N3009,3,生物·及格,袁恬雅的生物水平达到了及格，现已加入及格率的分子。,true,true,N3009
,,,,,,
N4001,4,语文·及格,文有希的语文水平达到了及格，现已加入及格率的分子。,true,true,N4001
N4002,4,数学·及格,文有希的数学水平达到了及格，现已加入及格率的分子。,true,true,N4002
N4003,4,英语·及格,文有希的英语水平达到了及格，现已加入及格率的分子。,true,true,N4003
N4004,4,政治·及格,文有希的政治水平达到了及格，现已加入及格率的分子。,true,true,N4004
N4005,4,历史·及格,文有希的历史水平达到了及格，现已加入及格率的分子。,true,true,N4005
N4006,4,地理·及格,文有希的地理水平达到了及格，现已加入及格率的分子。,true,true,N4006
N4007,4,物理·及格,文有希的物理水平达到了及格，现已加入及格率的分子。,true,true,N4007
N4008,4,化学·及格,文有希的化学水平达到了及格，现已加入及格率的分子。,true,true,N4008
N4009,4,生物·及格,文有希的生物水平达到了及格，现已加入及格率的分子。,true,true,N4009
,,,,,,
I1001,1,音乐·入门,肖杜薇薇音乐能力大涨，各项属性有所上升。,true,true,I1001
I1002,1,表演·入门,肖杜薇薇表演能力大涨，各项属性有所上升。,true,true,I1002
I1003,1,舞蹈·入门,肖杜薇薇舞蹈能力大涨，各项属性有所上升。,true,true,I1003
I1004,1,手工·入门,肖杜薇薇手工能力大涨，各项属性有所上升。,true,true,I1004
I1005,1,棋技·入门,肖杜薇薇棋技能力大涨，各项属性有所上升。,true,true,I1005
I1006,1,种植·入门,肖杜薇薇种植能力大涨，各项属性有所上升。,true,true,I1006
I1007,1,摄影·入门,肖杜薇薇摄影能力大涨，各项属性有所上升。,true,true,I1007
I1008,1,烹饪·入门,肖杜薇薇烹饪能力大涨，各项属性有所上升。,true,true,I1008
I1009,1,考古·入门,肖杜薇薇考古能力大涨，各项属性有所上升。,true,true,I1009
I1010,1,编程·入门,肖杜薇薇编程能力大涨，各项属性有所上升。,true,true,I1010
I1011,1,绘画·入门,肖杜薇薇绘画能力大涨，各项属性有所上升。,true,true,I1011
I1012,1,运动·入门,肖杜薇薇运动能力大涨，各项属性有所上升。,true,true,I1012
,,,,,,
I1101,1,音乐·突出,肖杜薇薇音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1101
I1102,1,表演·突出,肖杜薇薇表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1102
I1103,1,舞蹈·突出,肖杜薇薇舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1103
I1104,1,手工·突出,肖杜薇薇手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1104
I1105,1,棋技·突出,肖杜薇薇棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1105
I1106,1,种植·突出,肖杜薇薇种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1106
I1107,1,摄影·突出,肖杜薇薇摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1107
I1108,1,烹饪·突出,肖杜薇薇烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1108
I1109,1,考古·突出,肖杜薇薇考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1109
I1110,1,编程·突出,肖杜薇薇编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1110
I1111,1,绘画·突出,肖杜薇薇绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1111
I1112,1,运动·突出,肖杜薇薇运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1112
,,,,,,
I2001,2,音乐·入门,周子轩音乐能力大涨，各项属性有所上升。,true,true,I2001
I2002,2,表演·入门,周子轩表演能力大涨，各项属性有所上升。,true,true,I2002
I2003,2,舞蹈·入门,周子轩舞蹈能力大涨，各项属性有所上升。,true,true,I2003
I2004,2,手工·入门,周子轩手工能力大涨，各项属性有所上升。,true,true,I2004
I2005,2,棋技·入门,周子轩棋技能力大涨，各项属性有所上升。,true,true,I2005
I2006,2,种植·入门,周子轩种植能力大涨，各项属性有所上升。,true,true,I2006
I2007,2,摄影·入门,周子轩摄影能力大涨，各项属性有所上升。,true,true,I2007
I2008,2,烹饪·入门,周子轩烹饪能力大涨，各项属性有所上升。,true,true,I2008
I2009,2,考古·入门,周子轩考古能力大涨，各项属性有所上升。,true,true,I2009
I2010,2,编程·入门,周子轩编程能力大涨，各项属性有所上升。,true,true,I2010
I2011,2,绘画·入门,周子轩绘画能力大涨，各项属性有所上升。,true,true,I2011
I2012,2,运动·入门,周子轩运动能力大涨，各项属性有所上升。,true,true,I2012
,,,,,,
I2101,2,音乐·突出,周子轩音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2101
I2102,2,表演·突出,周子轩表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2102
I2103,2,舞蹈·突出,周子轩舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2103
I2104,2,手工·突出,周子轩手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2104
I2105,2,棋技·突出,周子轩棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2105
I2106,2,种植·突出,周子轩种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2106
I2107,2,摄影·突出,周子轩摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2107
I2108,2,烹饪·突出,周子轩烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2108
I2109,2,考古·突出,周子轩考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2109
I2110,2,编程·突出,周子轩编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2110
I2111,2,绘画·突出,周子轩绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2111
I2112,2,运动·突出,周子轩运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2112
,,,,,,
I3001,3,音乐·入门,袁恬雅音乐能力大涨，各项属性有所上升。,true,true,I3001
I3002,3,表演·入门,袁恬雅表演能力大涨，各项属性有所上升。,true,true,I3002
I3003,3,舞蹈·入门,袁恬雅舞蹈能力大涨，各项属性有所上升。,true,true,I3003
I3004,3,手工·入门,袁恬雅手工能力大涨，各项属性有所上升。,true,true,I3004
I3005,3,棋技·入门,袁恬雅棋技能力大涨，各项属性有所上升。,true,true,I3005
I3006,3,种植·入门,袁恬雅种植能力大涨，各项属性有所上升。,true,true,I3006
I3007,3,摄影·入门,袁恬雅摄影能力大涨，各项属性有所上升。,true,true,I3007
I3008,3,烹饪·入门,袁恬雅烹饪能力大涨，各项属性有所上升。,true,true,I3008
I3009,3,考古·入门,袁恬雅考古能力大涨，各项属性有所上升。,true,true,I3009
I3010,3,编程·入门,袁恬雅编程能力大涨，各项属性有所上升。,true,true,I3010
I3011,3,绘画·入门,袁恬雅绘画能力大涨，各项属性有所上升。,true,true,I3011
I3012,3,运动·入门,袁恬雅运动能力大涨，各项属性有所上升。,true,true,I3012
,,,,,,
I3101,3,音乐·突出,袁恬雅音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3101
I3102,3,表演·突出,袁恬雅表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3102
I3103,3,舞蹈·突出,袁恬雅舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3103
I3104,3,手工·突出,袁恬雅手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3104
I3105,3,棋技·突出,袁恬雅棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3105
I3106,3,种植·突出,袁恬雅种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3106
I3107,3,摄影·突出,袁恬雅摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3107
I3108,3,烹饪·突出,袁恬雅烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3108
I3109,3,考古·突出,袁恬雅考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3109
I3110,3,编程·突出,袁恬雅编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3110
I3111,3,绘画·突出,袁恬雅绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3111
I3112,3,运动·突出,袁恬雅运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3112
,,,,,,
I4001,4,音乐·入门,文有希音乐能力大涨，各项属性有所上升。,true,true,I4001
I4002,4,表演·入门,文有希表演能力大涨，各项属性有所上升。,true,true,I4002
I4003,4,舞蹈·入门,文有希舞蹈能力大涨，各项属性有所上升。,true,true,I4003
I4004,4,手工·入门,文有希手工能力大涨，各项属性有所上升。,true,true,I4004
I4005,4,棋技·入门,文有希棋技能力大涨，各项属性有所上升。,true,true,I4005
I4006,4,种植·入门,文有希种植能力大涨，各项属性有所上升。,true,true,I4006
I4007,4,摄影·入门,文有希摄影能力大涨，各项属性有所上升。,true,true,I4007
I4008,4,烹饪·入门,文有希烹饪能力大涨，各项属性有所上升。,true,true,I4008
I4009,4,考古·入门,文有希考古能力大涨，各项属性有所上升。,true,true,I4009
I4010,4,编程·入门,文有希编程能力大涨，各项属性有所上升。,true,true,I4010
I4011,4,绘画·入门,文有希绘画能力大涨，各项属性有所上升。,true,true,I4011
I4012,4,运动·入门,文有希运动能力大涨，各项属性有所上升。,true,true,I4012
,,,,,,
I4101,4,音乐·突出,文有希音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4101
I4102,4,表演·突出,文有希表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4102
I4103,4,舞蹈·突出,文有希舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4103
I4104,4,手工·突出,文有希手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4104
I4105,4,棋技·突出,文有希棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4105
I4106,4,种植·突出,文有希种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4106
I4107,4,摄影·突出,文有希摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4107
I4108,4,烹饪·突出,文有希烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4108
I4109,4,考古·突出,文有希考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4109
I4110,4,编程·突出,文有希编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4110
I4111,4,绘画·突出,文有希绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4111
I4112,4,运动·突出,文有希运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4112
,,,,,,
park1,,公园散步,学生们心情恢复6点,true,,
park2,,公园散步,学生们心情恢复10点,true,,
park3,,公园散步,学生们心情恢复6点，绘画提升10点,true,,
park4,,公园散步,学生们心情恢复8点，考古提升10点,true,,
park5,,公园散步,学生们心情恢复30点，语文提升20点,true,,
,,,,,,
court1,,球场运动,学生们体质提升1点，运动提升6点,true,,
court2,,球场运动,学生们心情恢复2点，体质提升1点，运动提升6点,true,,
court3,,球场运动,学生们收获丰富，心情恢复5点，体质提升1，运动提升10,true,,
court4,,球场运动,学生们收获丰富，心情恢复10点，运动提升30点，表演提升5点,true,,