Year,semester,Type,Total,Content
1,0,All,0,堕落
1,0,All,240,志不在此
1,0,All,300,偏科严重
1,0,All,350,非常勉强
1,0,All,400,稳定上升
1,0,All,450,非常优秀
1,0,Teacher,0,执教10年有余，该学生是第一个任何科目都非常不擅长的孩子。希望家长能给孩子树立正确的学习观念，让孩子在课堂上那怕听一点点也好。
1,0,Teacher,240,你性格活泼开朗，总是带着甜甜的笑容，但你偶尔会犯一些小错误。有时上课不够留心，还有些小动作，你能想办法控制自己吗？希望能从根本上认识到自己学习上的不足，在课堂上能认真听讲，开动脑筋，努力提高学习成绩。
1,0,Teacher,300,记得和你说过，你是个太聪明的孩子，你反应敏捷，活泼灵动。但是做学问是需要静下心来老老实实去钻研的，容不得卖弄小聪明和半点顽皮话。要知道，学如逆水行舟，不进则退；心似平原野马，易放难收！望你下学期重新抖擞精神早日进入状态，不辜负关爱你的人对你的殷殷期盼。
1,0,Teacher,350,你很有能力，也很潜力，但欠缺的却是耐力和毅力。君子厚积而薄发，希望你能振作精神，跟上进度，迎头赶上，期待你获得更大的进步！
1,0,Teacher,400,最有希望得成功者，并不是才干出众的人，而是那些最善于利用时机去努力开创的人。你是很有才华的孩子，老师希望你能把握好机会，求得上进。
1,0,Teacher,450,该生遵纪守法，积极参加社会实践和文体活动。集体观念强，劳动积极肯干。学习目的明确，态度认真，肯钻研，勤思考，学风踏实，时间观念强，能认真地按时、按量、保证质量完成各项学习任务，成绩优异。能吃苦，帮助同学，尊敬师长。有理想抱负，各科发展全面，具有较好的综合素质。
1,0,Self,0,（该学生选择不填写自评）
1,0,Self,240,这周喜雪出了一款限定奶茶，我想喝@家人们
1,0,Self,300,考的很不错了，平时测验成绩都不好，这次居然超过了很多同学
1,0,Self,350,我已经足够努力了，但是考的还是不好，假期我要抄5次错题
1,0,Self,400,学习不是唯一选择，假期想去旅游了
1,0,Self,450,哎，考砸了。年级第一居然比我高了整整1分，没脸见人了。555...
1,1,All,0,堕落
1,1,All,260,志不在此
1,1,All,320,偏科严重
1,1,All,360,勉强及格
1,1,All,400,目标明确
1,1,All,450,全面发展
1,1,All,500,优秀
1,1,All,550,非常优秀
1,1,Teacher,0,高中不是游乐场，希望你能理解
1,1,Teacher,260,相比上个学期，你的进步非常显著，但是距离班上大多数同学的水平还有较大的差距。希望你能克服困难，努力学习。
1,1,Teacher,320,想你应该是个很懂事，也想进步的同学。但是光想是没有用的贪玩和得过且过只是懦弱的表现。你想让别人刮目相看吗？那么你愿意从现在开始有所改变吗？ 只要你严格要求自己，总有一天会梦想成真的！
1,1,Teacher,360,默默的思索，静静的聆听，勤恳的你每步都走得很踏实，老师早已悄悄的喜欢上这份可贵的含蓄，但老师更希望能看到你的锋芒，大胆的展示风采，你会发现原来自己也可以笑得如此灿烂。
1,1,Teacher,400,我很高兴看到你是个有上进心，有责任感，能够让家人、师长宽慰的孩子。有努力就有回报，你下半学期的表现不就证明了这一点吗？进步是随着时间节节上升的，不要太过急躁，要知道，若你不给自己设限，则人生中就没有限制你发挥的藩篱。新学期要继续努力，再接再励！
1,1,Teacher,450,你思维活跃，开朗大方，看人待事往往有独特见解，同学关系和谐。学习上你也自觉努力，能主动给自己加压。保持这种上进心，老师相信，坚持努力，今后无论在哪方面，你都能更上一层楼，如愿成为优秀的人才。
1,1,Teacher,500,勤于思考，善于安排时间，课堂学习和课外学习进步明显，成效显示著，得到专业课老师的好评。与人为善，和同学们相处融洽。积极参与体育活动，表现出良好的团队精神。
1,1,Teacher,550,你很了不起，你是我们学校的骄傲！
1,1,Self,0,（该学生选择不填写自评）
1,1,Self,260,我非常满意！
1,1,Self,320,当你看到这句话时，我已经快快乐乐的去玩耍了，勿怪。
1,1,Self,360,努力还不够，暑假作业我准备写一写了，不然跟不上节奏了。
1,1,Self,400,这不马上分班了，有些科目我是真的不想再花费时间了。
1,1,Self,450,没考好，看见这个成绩我很惭愧，愧对辅导班老师和学校老师的栽培。以后我一定会更努力的。
1,1,Self,500,我是全班第一，但是在年级里只排20多，既高兴又难过。
1,1,Self,550,哎，考砸了。年级第一居然比我高了整整1分，没脸见人了。555...
2,0,All,0,堕落
2,0,All,280,志不在此
2,0,All,320,偏科严重
2,0,All,360,勉强及格
2,0,All,400,目标明确
2,0,All,430,全面发展
2,0,All,460,优秀
2,0,All,490,非常优秀
2,0,Teacher,0,高中不是游乐场，希望你能理解
2,0,Teacher,280,相比上个学期，你的进步非常显著，但是距离班上大多数同学的水平还有较大的差距。希望你能克服困难，努力学习。
2,0,Teacher,320,想你应该是个很懂事，也想进步的同学。但是光想是没有用的贪玩和得过且过只是懦弱的表现。你想让别人刮目相看吗？那么你愿意从现在开始有所改变吗？ 只要你严格要求自己，总有一天会梦想成真的！
2,0,Teacher,360,默默的思索，静静的聆听，勤恳的你每步都走得很踏实，老师早已悄悄的喜欢上这份可贵的含蓄，但老师更希望能看到你的锋芒，大胆的展示风采，你会发现原来自己也可以笑得如此灿烂。
2,0,Teacher,400,我很高兴看到你是个有上进心，有责任感，能够让家人、师长宽慰的孩子。有努力就有回报，你下半学期的表现不就证明了这一点吗？进步是随着时间节节上升的，不要太过急躁，要知道，若你不给自己设限，则人生中就没有限制你发挥的藩篱。新学期要继续努力，再接再励！
2,0,Teacher,430,你思维活跃，开朗大方，看人待事往往有独特见解，同学关系和谐。学习上你也自觉努力，能主动给自己加压。保持这种上进心，老师相信，坚持努力，今后无论在哪方面，你都能更上一层楼，如愿成为优秀的人才。
2,0,Teacher,460,勤于思考，善于安排时间，课堂学习和课外学习进步明显，成效显示著，得到专业课老师的好评。与人为善，和同学们相处融洽。积极参与体育活动，表现出良好的团队精神。
2,0,Teacher,490,你很了不起，你是我们学校的骄傲！
2,0,Self,0,（该学生选择不填写自评）
2,0,Self,280,我非常满意！
2,0,Self,320,当你看到这句话时，我已经快快乐乐的去玩耍了，勿怪。
2,0,Self,360,努力还不够，寒假作业我准备写一写了，不然跟不上节奏了。
2,0,Self,400,没复习，就先这样吧，下个学期卷死他们！
2,0,Self,430,没考好，看见这个成绩我很惭愧，愧对学校老师的栽培。以后我一定会更努力的。
2,0,Self,460,我是全班第一，但是在年级里只排20多，既高兴又难过。
2,0,Self,490,哎，考砸了。年级第一居然比我高了整整1分，没脸见人了。555...
2,1,All,0,堕落
2,1,All,300,志不在此
2,1,All,350,偏科严重
2,1,All,380,勉强及格
2,1,All,420,目标明确
2,1,All,450,全面发展
2,1,All,490,优秀
2,1,All,520,非常优秀
2,1,Teacher,0,高中不是游乐场，希望你能理解
2,1,Teacher,300,相比上个学期，你的进步非常显著，但是距离班上大多数同学的水平还有较大的差距。希望你能克服困难，努力学习。
2,1,Teacher,350,想你应该是个很懂事，也想进步的同学。但是光想是没有用的贪玩和得过且过只是懦弱的表现。你想让别人刮目相看吗？那么你愿意从现在开始有所改变吗？ 只要你严格要求自己，总有一天会梦想成真的！
2,1,Teacher,380,默默的思索，静静的聆听，勤恳的你每步都走得很踏实，老师早已悄悄的喜欢上这份可贵的含蓄，但老师更希望能看到你的锋芒，大胆的展示风采，你会发现原来自己也可以笑得如此灿烂。
2,1,Teacher,420,我很高兴看到你是个有上进心，有责任感，能够让家人、师长宽慰的孩子。有努力就有回报，你下半学期的表现不就证明了这一点吗？进步是随着时间节节上升的，不要太过急躁，要知道，若你不给自己设限，则人生中就没有限制你发挥的藩篱。新学期要继续努力，再接再励！
2,1,Teacher,450,你思维活跃，开朗大方，看人待事往往有独特见解，同学关系和谐。学习上你也自觉努力，能主动给自己加压。保持这种上进心，老师相信，坚持努力，今后无论在哪方面，你都能更上一层楼，如愿成为优秀的人才。
2,1,Teacher,490,勤于思考，善于安排时间，课堂学习和课外学习进步明显，成效显示著，得到专业课老师的好评。与人为善，和同学们相处融洽。积极参与体育活动，表现出良好的团队精神。
2,1,Teacher,520,你很了不起，你是我们学校的骄傲！
2,1,Self,0,（该学生选择不填写自评）
2,1,Self,300,我非常满意！
2,1,Self,350,当你看到这句话时，我已经快快乐乐的去玩耍了，勿怪。
2,1,Self,380,努力还不够，假期作业我准备写一写了，不然跟不上节奏了。
2,1,Self,420,假期我要冲一把，卷死他们！
2,1,Self,450,没考好，看见这个成绩我很惭愧，愧对辅导班老师和学校老师的栽培。以后我一定会更努力的。
2,1,Self,490,我是全班第一，但是在年级里只排20多，既高兴又难过。
2,1,Self,520,哎，考砸了。年级第一居然比我高了整整1分，没脸见人了。555...
3,0,All,0,燕雀安知鸿鹄之志
3,0,Teacher,0,俗话说三百六十行，行行出状元，经过这两年多的相处，你应该也认识到，课堂上的知识并不适合你学习，希望今后你能够找到自己的人生目标，不要辜负父母对你的期待。
3,0,Self,0,反向第一！好耶！
3,0,All,320,大学有望
3,0,Teacher,320,加吧劲吧，关于学习方面的问题学校已经强调过无数遍了。你的成绩目前能上的高校学费都很贵，少则2万一年，多则8万一年，相信对你的家庭是个不小的负担。但是呢，如果你能在接下来的时间努力一把，能上6千一年的高校。
3,0,Self,320,有些科目我是真的不喜欢，后悔了
3,0,All,360,踩着二本线
3,0,Teacher,360,老师了解到你培养了一些兴趣爱好，但是高三是最为关键的一年，很多同学会在这个阶段杀出来，希望你能调整好学习和兴趣之间的平衡，成绩不要被拉下了。
3,0,Self,360,别听班主任的，高三我要玩得更嗨！
3,0,All,400,倾斜的水桶
3,0,Teacher,400,你很聪明，做事也很认真，在优势学科上的发挥一直都很好，老师只是希望你能在弱势学科上多下一些功夫，这样更容易在高考上取得好成绩。
3,0,Self,400,相比班主任，我更信任实验班的那位。
3,0,All,440,年级平均分
3,0,Teacher,440,听话、省心是各科任老师对你评价，虽然成绩并不突出，但总能保持良好的学习习惯，相信未来你能更出色！
3,0,Self,440,《论如何控分》
3,0,All,450,发挥不佳
3,0,Teacher,450,从平时作业表现来看，你的成绩应该更好。期待你高考时的表现！
3,0,Self,450,没想到呐，数学大题居然是作业里的，然鹅我上次偷懒直接抄的答案，考试时想不起来了。痛哭！
3,0,All,480,名列前茅
3,0,Teacher,480,这次的试题难度偏大，但你依然取得了良好的成绩，做得好，保持下去！
3,0,Self,480,想想因为忘记约分、忘记写单位被扣的分，就难受。
3,0,All,500,年级前列
3,0,Teacher,500,你这次考的非常好，在年级排名上有所突破，拿到了197名的好成绩，令所有人都大吃了一惊。排名出来后，你们英语老师张牙舞爪地大喊：“看这是我们班的！”，吓了周围老师一大跳。
3,0,Self,500,下次只会考得更好
3,0,All,520,年级前列
3,0,Teacher,520,你这次考的非常好，在年级排名上有所突破，拿到了73名的好成绩，不愧是黑马中的黑马！希望你能够稳定下去，在接下来的学习中也能表现优秀。
3,0,Self,520,别夸我，我还不是第一
3,0,All,540,全市前列
3,0,Teacher,540,老师帮你看了，你全市排在了200名开外，如果想要进入前200，必须考更好，这需要你能每科都考90分以上，相信对你来说不算什么难事。
3,0,Self,540,我80多分那科平时不是这样的，失误啊！
3,0,All,560,校状元
3,0,Teacher,560,说句不好听的，你现在就算骑在校长头上蹦迪，校长都夸你体力好。祝贺你！
3,0,Self,560,心满意足
3,0,All,580,联考状元
3,0,Teacher,580,我任教10多年了，第一次见证我们学校在联考上第一名的成绩超过其他学校。有你是我们的荣幸！
3,0,Self,580,千万不能让其他人知道，我又涂错答题卡了.jpg
3,0,All,595,满分
3,0,Teacher,595,是出题老师做的不严谨，你应该是满分的。是那些模糊的题目害了你，在这里给你道歉了。
3,0,Self,595,关于我在漏洞百出的试题中寻找老师最想看到的“标准答案”