Id,Type,Name,Icon,IsBuy,Price,ConditionA,ConditionB,Description,心情,信任,气质,思维,口才,体质,善恶,语文,数学,英语,政治,历史,地理,物理,化学,生物,音乐,表演,舞蹈,手工,棋技,种植,摄影,烹饪,考古,编程,绘画,运动
0,N,未安排,,No,0,null,null,什么也不做,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,M,语文,Liberal arts,No,0,null,null,紫荆花被风踢落了一地，太阳被云朵包了饺子,-5,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M,数学,science,No,0,null,null,正弦函数、余弦函数，学了都说苦。微分、积分，考完定忘,-8,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M,外语,Liberal arts,No,0,null,null,Long time no see真的不是中式英语里的,-8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M,政治,Liberal arts,No,0,null,null,当今中国社会的主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。,-6,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M,历史,Liberal arts,No,0,null,null,历史的车轮滚滚向前，轮子的每一圈却都是周而复始。吸取教训，记住应被记住的事情。,-6,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M,地理,Liberal arts,No,0,null,null,"羌笛何须怨杨柳,春风不渡玉门关”中的“春风”是指哪个季节的风",-6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M,物理,science,No,0,null,null,如果我看得更远一点的话，是因为我站在巨人的肩膀上——牛顿,-8,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M,化学,science,No,0,null,null,暗号：38324。下一句？14122。那再下一句呢？糟糕，忘了,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M,生物,science,No,0,null,null,红绿色盲的小姐姐的爸爸和儿子都是红绿色盲,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0
10,I,写小说,Liberal arts,Yes,500,null,null,做后宫佳丽三千的美梦，做统领万界宇宙的神王,-5,0,0,3,0,0,-1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
11,I,歌唱练习,singer,Yes,1000,null,null,其实我也是个歌手,-3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0
12,I,音乐基本理论,Liberal arts,Yes,1000,null,null,我要做音乐上的皇帝,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0
13,I,演员修养,Liberal arts,Yes,1000,null,null,其实我是个演员,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
14,I,瑜伽练习,,Yes,1000,null,null,头下屁股上的不一定是倒立,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
15,I,素描绘画,,Yes,500,null,null,真正的艺术家从来不用画笔,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
16,I,网络编程,,Yes,1000,null,null,我们先学完30个小时的基础课程，然后就可以抄代码了。唯一要求学会的快捷键——复制粘贴！,-8,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0
17,I,国菜烹饪,,Yes,1000,null,null,首先区分一下广东的特辣和湖南的微微辣，再区分一下南方的汤圆和北方的元宵,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0
18,I,围棋,,Yes,1000,null,null,我再说一遍，这不是五子棋,-5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
19,I,摄影,,Yes,1000,null,null,摄影的境界，你们那些玩器材的永远不会懂,-5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,2,0
20,I,格斗术,,Yes,1000,null,null,我要打十个,-3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,I,演讲,singer,Yes,500,null,null,大家好，我是渣渣灰,-5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
22,I,文学考古,Liberal arts,Yes,1000,null,null,请叫我摸金校尉,-3,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
23,I,现代舞,,Yes,1000,null,null,腰马合一,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0
24,I,量子物理,,Yes,5000,null,null,遇事不决专用，但好像也没什么用。,0,0,-1,2,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,I,游戏策划,,Yes,1000,null,null,“做一些比如写下这句话类似的事情”,-2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
26,I,美妆护肤,,Yes,1000,null,null,化妆，让自己更自信！护肤，让自己越来越白！,1,0,4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
27,I,花卉种植,,Yes,1000,null,null,种点花花草草，贴上有毒标签。,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,15,0,0,0,0,0,0
28,I,木刻制作,,Yes,1000,null,null,一接一合，榫卯结构永远那么令人着迷。一修一磨，雕刻木像还是那么百看不厌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
29,O,图书馆,,No,0,null,null,随便翻一翻，无用的知识又增加了,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,O,公园散步,exercise,No,0,null,null,去公园呆个半天，也许会发生有趣的事情,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,O,KTV,singer,No,0,null,null,麦霸上线,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
32,O,写额外作业,,No,0,null,null,对心情没有什么好处,-2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,O,睡觉,sleep,No,0,null,null,睡懒觉,14,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,O,游戏主播,GAME,Yes,0,null,null,谢谢哥哥的火箭,11,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
35,O,美食主播,,Yes,0,null,null,不要问我手上的齿痕,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
36,O,游泳,exercise,Yes,0,null,null,为什么水突然有点热热的,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,O,篮球,exercise,Yes,0,null,null,教练我想打篮球,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
38,O,马拉松,exercise,Yes,0,null,null,我能这么跑一整天,-8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
40,O,纸牌魔术,,Yes,0,null,null,有谁能配合我下来的表演吗？哦不是你，是那位美丽的小姐,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
41,O,电子竞技,,Yes,0,null,null,祖安人永不为奴！,18,0,-3,3,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,O,KTV(已预约),singer,No,0,null,null,麦霸上线,20,1,1,0,1,0,0,8,0,8,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,6